Player,Class,Season,Position,School,Games,FG,2P,3P,FT,TRB,AST,STL,BLK,PTS,Picked
George Odufuwa\george-odufuwa-1,Total,5,,Total,22,54,54,NaN,62,181,27,14,14,188,0
Alvydas Pazdrazdis\alvydas-pazdrazdis-1,Southland,4,,McNeese State,20,44,53,34,63,97,29,28,3,235,0
Michael Perez\michael-perez-1,Total,5,,Total,24,38,41,33,71,62,47,14,3,188,0
Derrick Robinson\derrick-robinson-1,Big South,4,,Coastal Carolina,25,43,47,29,71,113,47,33,10,235,0
Josh Shehan\josh-shehan-1,Southern,4,,Appalachian State,29,59,59,NaN,63,150,20,11,12,235,0
Stanislav Zuzak\stanislav-zuzak-1,Big West,4,,UC-Irvine,29,44,47,39,64,99,32,10,5,235,0
G.W. Boon\gw-boon-1,Patriot,4,,Bucknell,31,38,41,36,76,99,22,12,8,235,0
Moses Malone\moses-malone-1,Total,4,,Total,19,37,42,32,79,63,14,15,1,235,0
DeSean Murray\desean-murray-1,Big South,2,,Presbyterian,25,53,54,0,71,195,42,46,13,470,0
Rick Rickert\rick-rickert-1,Big Ten,2,,Minnesota,31,47,52,36,69,180,42,23,32,470,1
Matt Sundblad\matt-sundblad-1,Total,4,,Lamar,25,38,38,38,86,55,36,15,0,235,0
Ochiel Swaby\ochiel-swaby-1,Total,3,,Total,17,48,55,31,76,107,44,17,17,313,0
J.T. Tiller\jt-tiller-1,Big 12,4,,Missouri,32,43,49,26,74,84,83,41,4,235,0
Mikhail Torrance\mikhail-torrance-1,SEC,4,,Alabama,27,45,52,30,87,58,81,14,3,235,0
C.J. Aiken\cj-aiken-1,A-10,3,,Saint Joseph's,32,50,61,28,72,163,29,14,106,313,0
Nathan Bilyeu\nathan-bilyeu-1,MVC,4,,Missouri State,31,43,44,39,72,157,56,28,12,234,0
Cameron Boozer\cameron-boozer-1,Total,3,,Total,20,51,53,33,62,152,19,18,15,313,0
Travis Garrison\travis-garrison-1,ACC,4,,Maryland,31,43,45,33,75,157,19,14,34,234,0
Lawrence Gilbert\lawrence-gilbert-1,Total,5,,Total,21,40,43,35,83,89,18,12,5,187,0
Josh Heard\josh-heard-1,OVC,2,,Tennessee Tech,27,38,39,38,84,69,37,35,4,469,0
Chris Johnson\chris-johnson-10,WCC,3,,Saint Mary's (CA),27,41,42,39,75,92,34,27,4,313,0
Othello Meadows\othello-meadows-1,CAA,4,,East Carolina,27,43,44,42,73,77,36,14,1,234,0
Jamal Ragland\jamal-ragland-1,NEC,4,,Saint Francis (PA),26,36,40,34,70,78,122,40,1,234,0
Antwan Scott\antwan-scott-2,Total,4,,Total,15,43,45,40,78,64,42,13,0,234,0
Jim Shaffer\jim-shaffer-1,Total,3,,Hofstra,27,45,49,29,74,118,65,34,1,313,0
Trey Stanton\trey-stanton-1,Total,5,,Total,24,42,45,33,71,107,25,10,15,187,0
Manny Ubilla\manny-ubilla-1,NEC,2,,Fairleigh Dickinson,29,42,43,41,78,132,111,46,9,469,0
Matt Crenshaw\matt-crenshaw-1,Mid-Cont,4,,IUPUI,30,49,51,31,73,105,127,39,3,234,0
Keenan Evans\keenan-evans-1,Big 12,3,,Texas Tech,31,43,45,38,78,81,76,29,9,312,0
Kenny Harley\kenny-harley-1,Big East,4,,Boston College,29,42,45,35,68,117,50,37,2,234,0
Chris Harrison-Docks\chris-harrison-docks-1,Total,4,,Total,25,37,40,36,83,42,47,13,0,234,0
Antino Jackson\antino-jackson-1,MAC,3,,Akron,35,38,44,33,75,79,85,31,1,312,0
Billy Knight\billy-knight-2,Pac-10,5,,UCLA,23,45,52,40,78,50,17,15,1,187,0
Cedrick Lang\cedrick-lang-1,CUSA,4,,Texas-El Paso,32,58,58,NaN,60,181,29,12,13,234,0
Clay McKnight\clay-mcknight-1,Big West,5,,Total,21,42,44,41,88,32,25,10,0,187,0
Josh Pace\josh-pace-1,Big East,4,,Syracuse,32,53,54,0,51,121,78,40,10,234,0
Mitchell Patton\mitchell-patton-1,Summit,4,,IUPUI,29,51,51,20,69,98,13,10,22,234,0
Mitch Rolls\mitch-rolls-1,Patriot,4,,Colgate,30,37,35,37,77,61,91,19,2,234,0
David Shelton\david-shelton-1,WAC,2,,Tulsa,37,44,47,36,79,179,27,49,5,469,0
Shon Tarver\shon-tarver-1,Pac-10,2,,UCLA,29,51,56,30,63,136,78,42,10,469,0
Theron Wilson\theron-wilson-1,MVC,2,,Bradley,36,47,49,33,70,246,57,58,17,469,0
Jeff Withey\jeff-withey-1,Big 12,4,,Kansas,29,56,57,NaN,72,157,17,14,77,234,1
Derick Beltran\derick-beltran-1,SWAC,2,,Southern,32,40,46,33,80,126,50,35,14,468,0
Kyre' Hamer\kyre-hamer-1,Big South,4,,Campbell,27,50,56,35,74,93,54,32,6,234,0
Dionte Harvey\dionte-harvey-1,SWAC,2,,Southern,27,42,49,35,76,91,39,54,11,468,0
Damany Hendrix\damany-hendrix-1,Southland,2,,Lamar,28,40,45,35,80,128,43,23,10,468,0
David Lalazarian\david-lalazarian-1,Total,5,,Total,24,43,49,32,67,78,22,13,2,187,0
Terrell Lewis\terrell-lewis-1,OVC,3,,Eastern Illinois,30,39,35,41,75,63,154,31,0,312,0
Toby Madison\toby-madison-1,Total,5,,Total,16,44,45,42,75,47,38,12,1,187,0
Steve McWhorter\steve-mcwhorter-1,Total,5,,Total,26,42,46,32,69,77,75,29,7,187,0
Hubert Register\hubert-register-1,Total,3,,Northern Illinois,24,51,53,25,72,180,35,31,44,312,0
Rob Stevenson\rob-stevenson-1,Big South,4,,North Carolina-Asheville,26,51,51,NaN,57,137,18,16,40,234,0
Drew Williamson\drew-williamson-2,CAA,4,,Old Dominion,32,42,47,35,68,99,138,53,6,234,0
Antonio Barton\antonio-barton-1,Total,4,,Total,33,43,47,38,66,70,54,21,4,234,0
Reggie Borges\reggie-borges-1,Mid-Cont,2,,Oral Roberts,29,53,56,26,74,193,32,21,11,468,0
George Byrd\george-byrd-1,Total,4,,Virginia Commonwealth,26,55,56,0,54,167,24,14,29,234,0
Stu Douglass\stu-douglass-1,Big Ten,4,,Michigan,34,38,46,34,71,77,72,27,4,234,0
Marquis Estill\marquis-estill-1,SEC,3,,Kentucky,33,60,62,30,64,158,25,12,47,312,0
Jiri Hubalek\jiri-hubalek-1,Big 12,3,,Iowa State,29,47,50,29,71,174,21,16,16,312,0
Zach Lofton\zach-lofton-1,Total,4,,Total,16,38,45,27,78,57,33,19,3,234,0
Darren Moore\darren-moore-1,Big West,3,,UC-Irvine,23,47,53,37,75,117,41,33,6,312,0
Prince Okoroh\prince-okoroh-1,MEAC,6,,Howard,16,39,41,25,65,70,14,19,8,156,0
Tyrone Perry\tyrone-perry-1,Total,4,,Delaware,29,38,42,36,76,83,93,46,1,234,0
Mohamed Abukar\mohamed-abukar-1,Total,4,,Total,22,46,51,29,81,90,24,11,11,233,0
Demondre Chapman\demondre-chapman-1,SWAC,4,,Prairie View,30,50,50,NaN,46,127,9,15,17,229,0
Akeem Clark\akeem-clark-1,Mid-Cont,2,,IUPUI,30,41,46,38,75,112,56,33,2,459,0
Theon Dotson\theon-dotson-1,SWAC,2,,Texas Southern,27,40,47,33,75,117,68,41,6,459,0
Uche Echefu\uche-echefu-1,ACC,4,,Florida State,32,43,50,30,80,153,15,21,17,229,0
Blake Jenkins\blake-jenkins-1,Total,4,,Belmont,33,56,61,29,63,122,27,13,18,229,0
Tim Krug\tim-krug-1,Ivy,4,,Pennsylvania,27,43,46,34,54,136,31,13,34,229,0
Oliver Morton\oliver-morton-1,Total,5,,Total,19,54,54,NaN,65,89,26,12,4,183,0
Rubeen Perry\rubeen-perry-1,Total,5,,Total,22,44,45,31,70,99,13,9,7,183,0
Tayler Persons\tayler-persons-1,Total,3,,Total,21,46,49,34,76,89,93,25,2,306,0
Shawn Redhage\shawn-redhage-1,Pac-10,4,,Arizona State,30,48,49,38,77,109,54,10,19,229,0
Ricardo Scott\ricardo-scott-1,NEC,3,,Central Connecticut State,28,45,49,36,73,124,33,25,5,306,0
Thomas Viglianco\thomas-viglianco-1,Total,5,,Total,22,40,43,38,71,91,28,11,2,183,0
Monty Buckley\monty-buckley-1,Pac-10,3,,University of California,28,49,58,35,69,113,38,29,5,305,0
Eric Carlson\eric-carlson-1,Summit,4,,North Dakota State,27,47,47,NaN,67,115,37,15,3,229,0
Gerard Coleman\gerard-coleman-1,Total,4,,Total,23,44,46,21,61,75,33,20,3,229,0
Joe De Ciman\joe-de-ciman-1,MWC,4,,Colorado State,30,40,43,37,73,94,39,14,11,229,0
Brendan Dunlop\brendan-dunlop-1,A-10,4,,Virginia Tech,27,42,48,30,71,72,82,37,2,229,0
Daymeon Fishback\daymeon-fishback-1,SEC,4,,Auburn,31,37,40,35,64,96,31,14,5,229,0
Gabe Hunterton\gabe-hunterton-1,Ivy,4,,Yale,25,35,36,32,74,65,66,17,3,229,0
Shawn Prudhomme\shawn-prudhomme-1,SWAC,2,,Southern,34,45,51,37,76,156,31,31,27,458,0
Philip Ricci\philip-ricci-1,Pac-10,2,,Oregon State,28,53,54,25,67,214,54,21,37,458,0
Damon Santiago\damon-santiago-1,Total,4,,Rutgers,20,40,42,37,74,61,72,17,1,229,0
Cory Alexander\cory-alexander-1,ACC,3,,Virginia,17,45,51,35,70,64,85,19,3,305,1
Chris Harriel\chris-harriel-1,Total,5,,Total,23,36,41,28,62,75,28,21,7,183,0
Aaron Haynes\aaron-haynes-1,WAC,2,,Boise State,31,47,55,26,77,183,43,27,27,458,0
Mario Jordan\mario-jordan-1,MAC,4,,Buffalo,29,47,50,31,70,121,30,22,3,229,0
MiKyle McIntosh\mikyle-mcintosh-1,MVC,3,,Illinois State,32,40,43,33,67,154,44,16,17,305,0
George Milsap\george-milsap-1,Mid-Cont,3,,Western Illinois,26,51,52,0,61,125,10,17,13,305,0
Constantin Popa\constantin-popa-1,Big East,3,,Miami (FL),27,51,51,NaN,67,183,23,19,66,305,1
Brandon Pye\brandon-pye-1,Southland,4,,Texas A&M-Corpus Christi,31,41,42,40,79,38,25,20,0,229,0
Justin Tubbs\justin-tubbs-1,Total,5,,Total,22,40,53,34,66,65,9,18,1,183,0
Emerson Whitley\emerson-whitley-1,Ivy,4,,Yale,25,43,50,33,78,124,27,25,4,229,0
Prince Fowler\prince-fowler-1,Total,5,,Total,25,38,40,37,70,63,116,28,1,183,0
Tony Hayden\tony-hayden-1,NEC,4,,Mount St. Mary's,28,44,47,39,68,125,41,28,2,228,0
Ronald Minter\ronald-minter-1,Total,4,,Northern Illinois,28,39,43,33,77,69,88,40,2,228,0
JaKarr Sampson\jakarr-sampson-1,Big East,2,,St. John's (NY),33,47,48,0,61,210,37,28,34,457,0
Rashad Smith\rashad-smith-1,Total,5,,Tulsa,23,51,53,23,56,99,19,12,14,183,0
Filip Videnov\filip-videnov-1,Sun Belt,4,,Western Kentucky,31,43,49,38,83,105,53,25,5,228,0
Solomon Abel\solomon-abel-1,NEC,5,,St. Francis (NY),22,46,50,30,71,55,67,27,1,182,0
Tom Bellairs\tom-bellairs-1,MWC,4,,Air Force,27,49,52,35,56,173,53,21,3,228,0
Blake Bozeman\blake-bozeman-1,MEAC,4,,Morgan State,30,32,33,30,71,66,61,18,1,228,0
Kiel Butler\kiel-butler-1,NEC,4,,Mount St. Mary's,26,43,47,31,68,84,20,18,5,228,0
Michael Byars-Dawson\michael-byars-dawson-1,Southland,2,,Northwestern State,31,41,42,38,71,113,65,58,8,457,0
Jeremy Combs\jeremy-combs-1,CUSA,3,,North Texas,25,58,58,NaN,54,208,13,28,18,304,0
Shanta Cotright\shanta-cotright-1,Total,2,,Cal Poly,29,49,52,35,68,147,96,50,2,457,0
Cody Demps\cody-demps-1,Big Sky,4,,Sacramento State,28,46,50,26,70,111,71,22,6,228,0
Nick Hornsby\nick-hornsby-1,Big Sky,4,,Sacramento State,30,46,48,30,69,180,45,33,14,228,0
Rahlir Jefferson\rahlir-jefferson-1,A-10,4,,Temple,33,49,49,NaN,60,170,66,39,27,228,0
Nate Kratch\nate-kratch-1,WCC,4,,Santa Clara,32,50,54,38,57,174,21,16,19,228,0
Garett Kreitz\garett-kreitz-1,Ivy,4,,Pennsylvania,23,41,43,40,72,57,38,23,1,228,0
Tim Marshall\tim-marshall-1,Total,4,,Virginia Military Institute,30,35,46,31,64,59,25,20,0,228,0
Quincy McKnight\quincy-mcknight-1,NEC,2,,Sacred Heart,29,43,46,29,70,149,81,47,8,457,0
David Minaya\david-minaya-1,Total,5,,Total,24,38,42,28,77,62,21,13,1,182,0
Kevinn Pinkney\kevinn-pinkney-1,WAC,4,,Nevada,27,51,53,17,71,155,21,18,22,228,0
Brett Royster\brett-royster-1,Sun Belt,4,,Florida Atlantic,31,53,53,NaN,62,171,11,15,75,228,0
Tyler Russell\tyler-russell-1,Total,4,,Houston Baptist,25,40,43,29,78,64,40,19,2,228,0
Lynard Stewart\lynard-stewart-1,A-10,4,,Temple,30,42,46,24,56,154,34,39,18,228,0
Tim Anderson\tim-anderson-1,MWC,4,,Air Force,31,42,51,32,84,71,60,43,8,228,0
Joda Burgess\joda-burgess-1,MAC,4,,Marshall,27,41,47,39,85,52,36,17,2,228,0
Charles Cooper\charles-cooper-1,Horizon,2,,Green Bay,33,45,48,17,68,179,53,36,7,456,0
Troy Daniels\troy-daniels-1,Total,4,,Virginia Commonwealth,31,39,39,38,81,67,12,20,1,228,0
Chris De La Rosa\chris-de-la-rosa-1,Total,5,,Total,18,41,43,29,71,43,79,16,0,182,0
Alasdair Fraser\alasdair-fraser-1,AEC,3,,Maine,29,52,53,29,60,187,26,14,34,304,0
Tab Hamilton\tabarris-hamilton-1,Total,4,,Appalachian State,23,38,42,33,73,48,23,22,2,228,0
Ken Lacey\ken-lacey-1,Total,3,,Rider,26,56,57,25,77,168,23,15,26,304,0
Mike Lang\mike-lang-1,Ivy,4,,Dartmouth,25,42,46,39,81,60,48,23,2,228,0
Malcolm Lee\malcolm-lee-1,Pac-10,3,,UCLA,31,44,53,27,71,95,61,24,6,304,1
Ben McGonagil\ben-mcgonagil-1,Big South,4,,North Carolina-Asheville,28,59,59,NaN,76,140,16,11,15,228,0
Jordan Mickey\jordan-mickey-1,SEC,2,,Louisiana State,32,52,53,0,67,287,38,25,109,456,1
Nick Minnerath\nick-minnerath-1,Horizon,3,,Detroit Mercy,23,49,55,36,81,124,21,16,9,304,0
Jon Octeus\jonathan-octeus-1,Total,3,,Total,33,42,46,30,75,136,69,25,5,304,0
Ryan Reed\ryan-reed-1,NEC,4,,Wagner,27,50,51,0,58,165,38,26,16,228,0
David Robertson\david-robertson-1,Big South,4,,North Carolina-Asheville,27,39,44,36,71,52,54,21,1,228,0
Awvee Storey\awvee-storey-1,Total,5,,Total,20,46,46,0,62,126,51,13,3,182,0
Kevin Vannatta\kevin-vannatta-1,Big South,3,,North Carolina-Asheville,32,47,56,35,74,131,91,37,2,304,0
Wes Wardrop\wes-wardrop-1,WCC,4,,Loyola Marymount,27,37,40,33,77,46,74,25,4,228,0
Charles Abouo\charles-abouo-1,Total,4,,Brigham Young,35,43,48,34,72,142,41,24,8,228,0
Ryan Appleby\ryan-appleby-1,Total,5,,Total,22,41,39,41,85,29,39,11,2,182,0
Troy Barnies\troy-barnies-1,AEC,4,,Maine,27,51,53,29,71,147,26,19,8,228,0
Cedrick Barrow\cedrick-barrow-1,MEAC,4,,Morgan State,27,38,41,34,75,62,75,23,2,228,0
Leandrew Bass\leandrew-bass-1,CUSA,4,,Alabama-Birmingham,29,43,45,20,66,91,76,28,9,228,0
Christian Brown\christian-brown-1,NEC,4,,St. Francis (NY),27,41,44,39,68,106,32,31,9,228,0
Travon Bryant\travon-bryant-1,Big 12,4,,Missouri,30,51,54,40,56,166,29,21,30,228,0
Bryant Coursey\bryant-coursey-1,AEC,4,,Drexel,26,40,42,34,70,95,102,26,5,228,0
Jason Dourisseau\jason-dourisseau-1,Big 12,4,,Nebraska,29,45,51,23,56,117,33,21,6,228,0
Dedrick Finn\dedrick-finn-1,A-10,4,,Xavier,30,38,40,37,68,65,120,40,1,228,0
Tay Fisher\tay-fisher-1,MAAC,4,,Siena,31,36,37,36,75,43,27,24,0,228,0
Broderick Gilchrest\broderick-gilchrest-1,Total,4,,Total,22,42,49,31,68,42,42,25,1,228,0
Kevin Henry\kevin-henry-2,Total,3,,New Mexico,32,40,46,38,86,57,48,21,0,304,0
Kammeon Holsey\kammeon-holsey-1,ACC,4,,Georgia Tech,31,55,55,NaN,59,135,23,13,9,228,0
Matt Jones\matt-jones-3,ACC,4,,Duke,35,40,44,37,68,77,48,36,4,228,0
Akil Mitchell\akil-mitchell-1,ACC,4,,Virginia,33,52,53,0,57,199,36,28,12,228,0
Geoff Owens\geoff-owens-1,Ivy,5,,Pennsylvania,22,53,53,NaN,50,140,27,13,39,182,0
Glenn Robinson\glenn-robinson-2,Big Ten,2,,Michigan,38,52,60,31,72,187,43,37,10,456,1
Jarryn Skeete\jarryn-skeete-1,MAC,4,,Buffalo,30,34,34,34,73,100,61,25,3,228,0
Bandja Sy\bandja-sy-1,WAC,4,,New Mexico State,29,42,49,29,68,125,30,16,13,228,0
Garrett Williamson\garrett-williamson-1,A-10,4,,Saint Joseph's,32,45,49,21,71,109,104,43,26,228,0
Nick Winbush\nick-winbush-1,MAC,4,,Miami (OH),30,42,49,37,76,114,16,12,18,228,0
Jalen Brunson\jalen-brunson-1,Big East,2,,Villanova,38,50,58,38,83,81,124,30,0,455,0
Reginald Buckner\reginald-buckner-1,SEC,4,,Mississippi,33,57,57,0,47,220,20,23,81,227,0
Nat Burton\nat-burton-1,Big East,4,,Georgetown,32,44,56,26,63,122,30,32,3,227,0
Reveal Chukwujekwu\reveal-chukwujekwu-1,Southland,4,,Houston Baptist,29,45,47,26,74,157,41,17,5,227,0
Walt DeVan\walt-devan-1,NEC,4,,Saint Francis (PA),26,39,41,34,81,63,89,22,2,227,0
Till Gloger\till-gloger-1,AEC,4,,Maine,29,54,54,NaN,71,101,9,12,5,227,0
Malcolm Hawkins\malcolm-hawkins-1,Total,5,,Total,19,39,42,35,70,60,23,15,4,182,0
Chad Hendrick\chad-hendrick-1,CUSA,4,,Houston,28,39,44,28,64,101,45,20,8,227,0
Vince Hunter\vince-hunter-1,CUSA,2,,Texas-El Paso,33,54,55,33,60,263,49,34,29,455,0
Eric Leftwich\eric-leftwich-1,Southland,4,,Stephen F. Austin,25,50,58,33,72,91,26,14,5,227,0
Jake Muhleisen\jake-muhleisen-1,Big 12,4,,Nebraska,25,42,51,29,73,85,71,25,6,227,0
Mario Mullen\mario-mullen-1,CAA,4,,Old Dominion,27,50,52,35,69,130,33,22,13,227,0
Jason Osborne\jason-osborne-2,NEC,3,,Saint Francis (PA),26,55,55,NaN,55,158,32,16,23,303,0
Larrie Smith\larrie-smith-1,OVC,2,,Tennessee Tech,28,58,59,20,76,246,59,47,2,455,0
Jeermal Sylvester\jeermal-sylvester-1,MAC,2,,Ball State,30,52,53,25,80,169,56,39,3,455,0
Brice Vounang\brice-vounang-1,WCC,2,,San Diego,28,53,53,0,72,204,29,30,10,455,0
Craig Benson\craig-benson-1,NEC,4,,Quinnipiac,25,36,40,33,68,49,34,13,3,227,0
Brian Jones\brian-jones-1,WCC,2,,Santa Clara,31,37,41,30,71,150,71,64,6,455,0
Logan Kinghorn\logan-kinghorn-1,Big Sky,4,,Idaho State,28,44,47,32,72,125,33,23,4,227,0
Jeff Massey\jeff-massey-1,MW Coll,2,,Xavier,29,43,49,36,75,83,81,43,19,455,0
Townsend Orr\townsend-orr-1,Big Ten,3,,Minnesota,30,43,50,36,74,106,111,47,1,303,0
Tyler Relph\tyler-relph-1,Total,5,,Total,21,39,40,37,88,42,46,14,0,182,0
Kamal Rountree\kamal-rountree-1,Ivy,4,,Brown,25,46,49,24,75,100,21,12,9,227,0
Jordan Wilson\jordan-wilson-1,Big Sky,3,,Northern Colorado,31,43,48,39,78,64,78,26,0,303,0
Jeffrey Carroll\jeffrey-carroll-2,Big 12,3,,Oklahoma State,28,48,57,37,78,125,22,17,6,303,0
Rob Edwards\rob-edwards-1,Horizon,2,,Cleveland State,31,40,43,37,75,132,49,39,3,454,0
Andre Heard\andre-heard-1,AEC,2,,Binghamton,29,37,41,29,75,135,61,56,11,454,0
Arnold Louis\arnold-louis-1,Total,5,,Savannah State,24,49,50,25,53,165,16,24,9,181,0
Sam Mitchell\sam-mitchell-3,Mid-Cont,2,,Cleveland State,27,52,54,30,61,221,42,22,31,454,0
Eniel Polynice\eniel-polynice-1,Total,5,,Total,26,41,46,22,58,96,76,27,11,181,0
Casey Schmidt\casey-schmidt-1,Mid-Cont,2,,Valparaiso,26,48,54,41,91,170,52,24,11,454,0
Senecca Wall\senecca-wall-1,Southland,2,,Sam Houston State,29,51,56,30,72,187,93,83,16,454,0
Quincy Williams\quincy-williams-1,Sun Belt,4,,North Texas,30,49,50,0,61,172,31,17,24,227,0
Justin Wilson\justin-wilson-2,NEC,4,,Maryland-Baltimore County,26,43,47,36,64,70,79,36,2,227,0
Billy Wright\billy-wright-1,MVC,4,,Bradley,29,43,49,28,71,93,148,54,2,227,0
Jacobi Boykins\jacobi-boykins-1,CUSA,3,,Louisiana Tech,33,44,53,39,74,95,35,37,13,302,0
Lamont Mack\lamont-mack-1,A-10,2,,Charlotte,32,38,42,34,72,176,37,30,10,454,0
Greg Minor\greg-minor-1,Metro,2,,Louisville,32,52,58,39,74,189,86,44,14,454,1
Alex Shorts\alex-shorts-1,MAC,2,,Miami (OH),31,47,48,11,82,144,14,24,8,454,0
Joe Thompson\joe-thompson-1,Southland,2,,Sam Houston State,29,44,49,36,76,144,103,42,3,454,0
Deon Williams\deon-williams-1,Big Sky,3,,Eastern Washington,26,40,43,34,60,73,136,32,5,302,0
Duane Wilson\duane-wilson-1,Big East,3,,Marquette,31,41,47,34,68,71,67,36,5,302,0
Ron Artest\ron-artest-1,Big East,2,,St. John's (NY),34,44,49,36,59,216,109,64,40,453,0
Kyle Austin\kyle-austin-1,Total,4,,Total,17,43,46,32,66,95,20,8,2,226,0
Patrick Beverley\patrick-beverley-1,SEC,2,,Arkansas,35,42,46,38,73,193,97,52,15,453,1
Kenyatta Clyde\kenyatta-clyde-1,Total,4,,Total,19,45,46,0,71,102,4,7,23,226,0
Darnell Dialls\darnell-dialls-1,OVC,4,,Eastern Kentucky,29,55,56,27,62,139,36,16,20,226,0
Abdul Gaddy\abdul-gaddy-1,Total,4,,Washington,29,43,47,31,65,70,117,21,4,226,0
Detric Golden\detric-golden-1,Total,3,,Total,19,46,48,42,78,61,85,25,0,302,0
Rob Hampton\rob-hampton-1,Total,5,,Total,17,43,48,31,67,57,33,17,1,181,0
Dwight Hardy\dwight-hardy-1,Big East,2,,St. John's (NY),31,43,48,37,81,77,43,30,2,453,0
JR Hobbie\norman-hobbie-1,Ivy,4,,Brown,28,42,31,43,93,29,13,7,0,226,0
Jamie Holmes\jamie-holmes-1,WCC,6,,Total,15,44,45,25,70,83,11,9,8,151,0
Lindsey Hunter\lindsey-hunter-1,SWAC,1,,Jackson State,34,41,46,34,77,115,115,89,14,907,1
Joab Jerome\joab-jerome-1,Big South,4,,Winthrop,30,44,48,32,70,108,54,20,10,226,0
Sean Mallon\sean-mallon-1,WCC,4,,Gonzaga,32,52,55,29,73,128,30,13,11,226,0
George Marshall\george-marshall-1,Total,4,,Total,22,39,39,38,75,54,43,12,1,226,0
Jairus McCollum\jairus-mccollum-1,Total,5,,Stony Brook,22,46,45,0,67,95,25,20,11,181,0
Armani Moore\armani-moore-1,SEC,4,,Tennessee,32,42,46,25,58,154,61,29,32,226,0
Brandy Perryman\brandy-perryman-1,Total,4,,Texas,30,37,38,36,88,43,50,22,1,226,0
Will Regan\will-regan-1,Total,5,,Total,23,45,51,37,77,94,14,7,12,181,0
Sheldon Strickland\sheldon-strickland-1,Big South,4,,Charleston Southern,31,39,41,37,74,53,57,22,0,226,0
Chaz Thomas\chaz-thomas-1,Big West,4,,Cal Poly,25,38,45,29,69,74,62,35,1,226,0
Tony Barksdale\tony-barksdale-1,MAC,2,,Western Michigan,25,43,48,34,73,68,59,24,3,453,0
Travis Cohn\travis-cohn-1,A-Sun,4,,Jacksonville,31,46,51,36,79,78,36,24,4,226,0
Austin Johnson\austin-johnson-2,Big 12,4,,Oklahoma,31,38,45,33,77,77,91,33,16,226,0
Jabari Johnson\jabari-johnson-1,Total,4,,Total,19,41,42,39,76,48,40,23,1,226,0
Jasper Johnson\jasper-johnson-1,CUSA,3,,Southern Mississippi,23,48,54,31,80,132,18,22,4,302,0
Kenyon Ross\kenyon-ross-1,SWAC,3,,Mississippi Valley State,28,46,47,17,54,208,74,47,40,302,0
Sam Spann\sam-spann-1,Total,5,,Total,17,50,52,12,68,103,30,23,9,181,0
Jamie Sykes\jamie-sykes-1,Mid-Cont,5,,Valparaiso,24,39,43,33,74,56,71,30,2,181,0
William Truss\william-truss-1,Big South,4,,Presbyterian,28,61,61,33,65,169,11,12,27,226,0
Steve Woodberry\steve-woodberry-1,Big 8,2,,Kansas,35,47,49,43,82,151,117,53,11,453,0
Moussa Badiane\moussa-badiane-1,CUSA,4,,East Carolina,26,51,51,NaN,66,151,14,14,78,226,0
Keegan Bell\keegan-bell-1,Total,5,,Total,26,34,45,30,69,72,126,19,0,181,0
Eugene Lawrence\eugene-lawrence-1,Big East,4,,St. John's (NY),28,36,42,29,68,109,130,49,3,226,0
Matt Lojeski\matt-lojeski-1,WAC,2,,Hawaii,29,51,61,38,82,144,102,43,19,452,0
Lakista McCuller\lakista-mcculler-1,ACC,3,,North Carolina State,28,39,46,35,69,73,63,25,1,301,0
Martell McDuffy\martell-mcduffy-1,Big South,4,,Radford,24,41,45,36,64,71,31,25,4,226,0
David McMahan\david-mcmahan-1,Big South,3,,Winthrop,22,42,50,37,76,76,63,25,2,301,0
Janko Narat\janko-narat-1,Southern,2,,Davidson,29,48,54,34,84,159,60,28,4,452,0
Kevin Punter\kevin-punter-1,SEC,2,,Tennessee,29,44,50,36,78,78,75,43,6,452,0
Roeland Schaftenaar\roeland-schaftenaar-1,Pac-10,4,,Oregon State,31,46,52,29,71,114,52,17,16,226,0
Sean Smith\sean-smith-4,Big South,4,,North Carolina-Asheville,30,39,36,40,72,93,47,16,2,226,0
Dante Terry\dante-terry-1,Southern,4,,Citadel,28,36,41,32,68,47,42,22,1,226,0
Zane Waterman\zane-waterman-1,MAAC,3,,Manhattan,30,47,55,34,75,150,14,17,10,301,0
Terrance Wright\terrance-wright-1,MEAC,4,,Morgan State,21,54,57,14,48,84,40,46,5,226,0
Randy Dukes\randy-dukes-1,MEAC,3,,Morgan State,27,39,39,41,70,90,33,21,1,301,0
Eddie Elisma\eddie-elisma-1,ACC,4,,Georgia Tech,30,55,55,0,59,191,23,22,45,226,1
Sam Hughes\sam-hughes-1,Big South,4,,North Carolina-Asheville,31,45,48,32,71,109,31,27,16,226,0
Stevie Johnson\stevie-johnson-1,Big 12,4,,Iowa State,31,52,53,0,63,151,57,26,11,226,0
Djibril Kante\djibril-kante-1,MVC,4,,Indiana State,30,54,54,33,59,167,20,21,31,226,0
Kyle Kelm\kyle-kelm-1,Horizon,4,,Milwaukee,31,46,55,24,67,121,30,11,9,226,0
Neal Kingman\neal-kingman-1,Big Sky,4,,Northern Colorado,31,43,51,34,70,101,34,12,9,226,0
Eugene Kotorobai\eugene-kotorobai-1,NEC,5,,Long Island University,22,38,45,35,68,127,16,18,17,180,0
Johnny Miller\johnny-miller-5,Total,4,,Total,20,39,43,34,71,58,20,12,6,226,0
Doron Perkins\doron-perkins-1,WCC,2,,Santa Clara,31,41,47,32,68,163,90,68,15,452,0
Daniel Quigley\daniel-quigley-1,Southern,4,,Furman,27,48,51,34,65,179,18,11,13,226,0
